Site;SherdType;Temper;Burnish;Slip;RimType;RimAngle;MxRT;MnBT;Diameter;DecorL1;DecorL2;DecorC1;DecorC2;DecorN1;DecorN2;DecorU1;DecorU2;DecorM1;DecorM2;DecorB;
Apl. 71-56;RIM;32;0;0;S1;2;12;10;15;0;;BSR;;PFR;;;;;;;
Apl. 71-98;RIM;31;0;0;S7;2;9;7;;CH;;CR6;;;;;;;;;
Apl. 71-99;RIM;31;0;0;S1;3;9;7;;0;;CR6;;;;;;;;;
Apl. 71-103;RIM;31;0;L;S1;3;9;7;16;0;;PFR2;;PFR2;;PFR2;;;;;
Apl. 71-95;RIM;31;0;0;S7;3;7;5;13;CH;;CR6;;CR6;;;;;;;
Apl. 71-55;RIM;31;0;0;S1;2;16;9;14;0;;BSR;;CR6;;;;;;;
Apl. 71-165;RIM;32;0;0;S1;2;14;13;17;0;;CR4;;CR4;;;;;;;
Apl. 71-85;RIM;31;0;0;S5;2;13;6;17;0;;CR6;;CR6;;;;;;;
Apl. 71-90;RIM;31;0;0;S5;2;9;5;19;CR6;;CR6;;PFR1;;;;;;;
A 71-60;RIM;31;L;L;E68;2;14;9;;0;;CR6;;CR6;;PFR2;;;;;
A 71-(A)-3;RIM;32;0;0;S1;1;12;10;19;0;;BSR;;CR6;;;;;;;
A 71-(A)-8;RIM;31;0;0;S1;3;10;7;19;0;;CR6;;CR6;;CR6;;;;;
Apl. 71-166;RIM;32;0;0;E68;1;11;6;11;0;;0;;CR;;CR4;;;;;
Apl. 71-163;RIM;31;0;0;E2;2;13;10;11;0;;CR4;;CR4;;PFR2;;;;;
L74-6;RIM;31;0;0;E5;2;6;4;13;0;;CR6;;CR6;;PFR?;;;;;
Apl. 71-162;RIM;32;0;0;E11;2;12;7;13;0;;0;;CR4;;CR4;;;;;
A-T-4;RIM;31;L;L;S3;3;10;7;11;0;;0;;PFR2?;;PFR2?;;PFR2?;;;
Apl. 71-94;RIM;31;0;L;S15;2;13;9;14;0;;PFR2;;PFR2;;PFR2;;;;;
Apl. 71-91;RIM;31;0;0;S15;2;11;7;18;0;;PFR2;;PFR2;;;;;;;
Apl. 71-79;RIM;31;0;L;S3;2;8;6;10;0;;PFR2;;PFR2;;;;;;;
Apl. 71-87;RIM;31;0;L;S1;3;9;8;10;0;;PFR2;;PFR2;;PFR2;;;;;
Apl. 71-81;RIM;31;L;L;S3;2;9;7;13;0;;PFR2;;PFR2;;PFR2;;;;;
Apl. 71-92;RIM;32;0;L;S3;2;11;7;11;0;;PFR2;;PFR2;;PFR2;;;;;
Apl. 71-89;RIM;31;L;L,C,N;S3;3;11;10;18;0;;CR6;;CR6;;;;;;;
Apl. 71-80;RIM;31;0;0;S3;2;9;6;13;0;;PFR2;;PFR2;;;;;;;
Apl. 71-93;RIM;31;0;L;S3;2;10;7;14;0;;PFR2;;PFR2;;PFR2;;;;;
Apl. 71-2;RIM;31;L,C,N,INT;L,C,N,INT;S1;3;6;4;13;0;;0;;0;;;;;;;
Apl. 71-3;RIM;31;L,C,N,INT;L,C,N,INT;S1;2;7;6;25;0;;0;;0;;;;;;;
L74-14;RIM;31;L,C,N,INT;L,C,N,INT;S1;3;6;5;20;RSO;;RSO;;RSO;;;;;;;
K71-77;RIM;31;0;0;E11;2;;;8;0;;0;;0;;0;;0;;B5;
A 1;RIM;31;0;0;S1;2;6;4;10;0;;SI2;;SI2;;0;;;;;
W71-16;RIM;31;0;0;S1;3;9;7;7;0;;DOGON;;DOGON;;DOGON;;DOGON;;DOGON;
K71-23;RIM;31;T/O;0;S9;3;10;;10;0;;0;;0;;0;;0;;B5;
Apl. 71-43;RIM;31;0;EXT;S1;2;11;6;5;0;;0;;0;;0;;PA3;;;
L74-9;RIM;31;INT,L;0;E68;2;11;8;20;0;;0;;7c (BEDAUX);;7c (BEDAUX);;;;;
A71-38;RIM;31;0;0;S1;4;14;10;28;0;;CR6;;CR6;;;;;;;
F71-29;RIM;31;0;INT;S19;3;8;6;29;0;;0;;PFR2;;PFR2;;PFR2;;;
Apl. 71-65;RIM;31;0;0;E81;2;8;5;7;0;;CR6;;CR6;;0;;0;;;
Apl. 71-64;RIM;31;0;T/O;E81;2;11;6;7;0;;BSR;;BSR;;0;;;;;
Apl. 71-66;RIM;31;0;0;E81;2;10;7;10;0;;0;;BSR;;BSR;;;;;
A71-54;RIM;31;0;L;E68;2;13;10;9;0;;CR6;;CR6;;CR6;;;;;
A71-51;RIM;31;L,C;L,C;E81;2;11;9;9;0;;0;;CR6;;CR6;;CR6;;;
A71-58;RIM;31;L;0;E81;2;9;6;10;0;;0;;BSR;;BSR;;BSR;;;
Apl. 71-67;RIM;31;0;0;E2;2;8;7;8;0;;0;;0;;0;;;;;
