Site;Context;Horizon;Number of sherds;Decor 1;Decor 2;Decor 3;Decor 4;Decor5;Decor6;;;;;;;;;;;;;;;
TOG2;A13;;3;CR4;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A13;;2;CR4;PLAIN;;;;;;;;;;;;;;;;;;;
TOG2;A13;;15;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A13;;24;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A13;;2;CR;;;;;;;;;;;;;;;;;;;;
TOG2;A13;;3;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A13;;10;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A13;;15;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A13;;2;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A13;;3;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A13;;2;RSO;CH;CR4;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;BLACK BURNISHED;CH;CR2;SI4;;;;;;;;;;;;;;;;;
TOG2;A13;;1;RSO;CH;P-W-L;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A13;;2;RSO;CH;CR2;SI4;;;;;;;;;;;;;;;;;
TOG2;A13;;1;RSO;CR2;SI4;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;PLAIN;P-R-L;CR4;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;CR4;P-R-L;;;;;;;;;;;;;;;;;;;
TOG2;A13;;2;CR4;P-R;SI4;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;PA4;SI4;VPR;;;;;;;;;;;;;;;;;;
TOG2;A13;;2;RSO;PA3;VPR;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;CR2;SI4;CH;P-R-L;CR4;;;;;;;;;;;;;;;;
TOG2;A13;;1;VPR;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;PLAIN;CH;CR4;;;;;;;;;;;;;;;;;;
TOG2;A13;;4;CR2;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;CR2;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A13;;1;RSO;CH;CR2;P-R;SI4;CR4;;;;;;;;;;;;;;;
TOG2;A14;;40;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;9;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;4;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;4;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;CR2;CH;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;PLAIN;CR2;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;CR2;MCH;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;CR2;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;CR4G;P-R-L;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;CI4;MCH;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;RSO;CH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;6;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;13;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;RSO;CH;CR2;SI4;;;;;;;;;;;;;;;;;
TOG2;A14;;1;CR4;P-R-W;;;;;;;;;;;;;;;;;;;
TOG2;A14;;1;P-R-W;CH;CR4;;;;;;;;;;;;;;;;;;
TOG2;A15;;14;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;21;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;1;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;2;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;1;CR4;CH;;;;;;;;;;;;;;;;;;;
TOG2;A15;;1;VPR;P-B-L;;;;;;;;;;;;;;;;;;;
TOG2;A15;;1;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;2;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;2;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;3;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A15;;1;PLAIN;CR4;;;;;;;;;;;;;;;;;;;
TOG2;A15;;22;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;103;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;4;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;20;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;14;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;4;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;13;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;8;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;4;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;EROD;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR6;MCH;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;VPR;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A16;;5;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;BLACK BURNISHED;CH;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;P-W-L;P-R;P-B;CH;CR2;;;;;;;;;;;;;;;;
TOG2;A16;;1;P-W;P-R;CR4;SI4;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR4;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR4;CH;P-R;;;;;;;;;;;;;;;;;;
TOG2;A16;;2;PLAIN;CR4;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR2;CH;;;;;;;;;;;;;;;;;;;
TOG2;A16;;5;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR2;CH;P-R;;;;;;;;;;;;;;;;;;
TOG2;A16;;4;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;PLAIN;CH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR2;CH;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;RSO;CH;CR6;;;;;;;;;;;;;;;;;;
TOG2;A16;;48;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;6;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;5;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;2;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A16;;3;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;RSO;CH;CR2;SI4;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;2;CR;;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR4;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A16;;2;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;CR4;VPR;;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;PLAIN;CH;CR6;;;;;;;;;;;;;;;;;;
TOG2;A16;;1;RSO;CR2;CH;SI4;;;;;;;;;;;;;;;;;
TOG2;A17;;4;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;2;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;14;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;RSO;MCH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;CR;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;6;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;4;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;9;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;9;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;2;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;2;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;32;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;CR2;CH;;;;;;;;;;;;;;;;;;;
TOG2;A17;;2;RSO;CR2;CH;SI4;;;;;;;;;;;;;;;;;
TOG2;A17;;1;RSO;CH;CR4;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;RSO;PLAIN;;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;VPR;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A17;;1;RSO;PA3;VPR;;;;;;;;;;;;;;;;;;
TOG2;A19;;2;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A19;;10;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A19;;52;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A19;;9;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A19;;2;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A19;;12;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A19;;8;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A19;;12;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A19;;1;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A19;;1;CH;ER;;;;;;;;;;;;;;;;;;;
TOG2;A19;;1;PLAIN;CR4;;;;;;;;;;;;;;;;;;;
TOG2;A19;;1;CR4;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A19;;3;CR2;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A19;;1;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A19;;1;RSO;CH;CR6;;;;;;;;;;;;;;;;;;
TOG2;A2;;2;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;10;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;3;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;9;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;6;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;11;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;1;CR8;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;7;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;84;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;2;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A2;;1;RSO;CH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A2;;1;RSO;CH;EROD;;;;;;;;;;;;;;;;;;
TOG2;A2;;1;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A2;;1;CR2;CH;;;;;;;;;;;;;;;;;;;
TOG2;A2;;1;RSO;CH;CR6;SI4;;;;;;;;;;;;;;;;;
TOG2;A20;;3;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A20;;22;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A20;;4;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A20;;5;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A20;;8;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A20;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A20;;1;PLAIN;CR4;;;;;;;;;;;;;;;;;;;
TOG2;A20;;3;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A20;;1;CR2;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A20;;1;VPR;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A20;;1;RSO;VPR;CH;;;;;;;;;;;;;;;;;;
TOG2;A20;;1;RSO;CH;CR2;CH;;;;;;;;;;;;;;;;;
TOG2;A21;;3;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A21;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A21;;10;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A21;;5;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A21;;5;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A21;;1;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A21;;37;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A21;;1;RSO;MCH;;;;;;;;;;;;;;;;;;;
TOG2;A21;;3;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A21;;2;CR4;P-R;SI4;;;;;;;;;;;;;;;;;;
TOG2;A21;;3;CR4;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A21;;1;CR2;SI4;CR4;;;;;;;;;;;;;;;;;;
TOG2;A21;;1;RSO;CH;P-W-L;CR2;;;;;;;;;;;;;;;;;
TOG2;A22;;7;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A22;;2;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A22;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A22;;1;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A22;;2;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;2;CR4;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A23;;9;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;11;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;2;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A23;;5;VPR;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A23;;3;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;9;CR2;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A23;;6;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A23;;1;PLAIN;CH;;;;;;;;;;;;;;;;;;;
TOG2;A23;;15;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;95;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;1;PFR;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;3;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;4;CR4;PLAIN;;;;;;;;;;;;;;;;;;;
TOG2;A23;;6;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A23;;2;RSO;CH;CR2;SI4;;;;;;;;;;;;;;;;;
TOG2;A23;;1;P-R;SI4;CR2;;;;;;;;;;;;;;;;;;
TOG2;A23;;1;P-R-L;EROD;;;;;;;;;;;;;;;;;;;
TOG2;A23;;2;VPR;CH;;;;;;;;;;;;;;;;;;;
TOG2;A23;;1;CR4;CH;;;;;;;;;;;;;;;;;;;
TOG2;A23;;1;CR2;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A23;;1;CR4;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A23;;1;RSO;PA3;CR4;;;;;;;;;;;;;;;;;;
TOG2;A23;;1;RSO;CH;P-W-L;CR2;;;;;;;;;;;;;;;;;
TOG2;A23;;1;CR2;CR4;SI4;P-W-L;;;;;;;;;;;;;;;;;
TOG2;A23;;1;CR6;P-R;SI4;;;;;;;;;;;;;;;;;;
TOG2;A24;;3;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A24;;4;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A24;;5;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A24;;44;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A24;;2;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A24;;5;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR2;CH;CR4;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR2;P-R;CH;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR2;CH;SI4;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR2;CH;P-RB-W;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR4;SI4;CR2;P-R;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR2;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;CR4;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A24;;1;VPR;CH;;;;;;;;;;;;;;;;;;;
TOG2;A26;;6;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A26;;1;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A26;;9;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A26;;2;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A26;;2;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A26;;22;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A26;;1;RSO;MCH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A26;;5;CR2;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A26;;1;PLAIN;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A26;;1;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A26;;1;PLAIN;CR4;;;;;;;;;;;;;;;;;;;
TOG2;A26;;1;VPR;CH;;;;;;;;;;;;;;;;;;;
TOG2;A27;;13;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;16;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;100;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;15;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;3;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;18;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;2;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;3;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A27;;6;CR2;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A27;;2;CR2;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;RSO;CH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A27;;6;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;CR4;CH;CR6;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;CR4;VPR;;;;;;;;;;;;;;;;;;;
TOG2;A27;;2;CR4;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A27;;2;VPR;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;VPR;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A27;;2;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;RSO;MCH;;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;RSO;MCH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;PLAIN;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A27;;1;PLAIN;CR4;;;;;;;;;;;;;;;;;;;
TOG2;A3;;30;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A3;;5;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A3;;6;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A3;;6;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A3;;3;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A3;;4;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A3;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A3;;1;VPR;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A3;;1;RSO;CH;VPR;;;;;;;;;;;;;;;;;;
TOG2;A3;;1;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A4;;48;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A4;;5;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A4;;12;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A4;;3;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A4;;7;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A4;;6;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A4;;2;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;VPR;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;VPR;CR2;;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;CR4;SI4;P-B;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;PFR;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;RSO;VPR;CH;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;RSO;CH;EROD;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;CR4;VPR;;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;CR?;MCH;;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;RSO;PA4;VPR;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;VPR;CH;;;;;;;;;;;;;;;;;;;
TOG2;A4;;1;PFR;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;22;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;3;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;10;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;7;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;30;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;2;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;2;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;3;CR?;;;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;CR4;P-W;;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;CR4;P-B-L;P-W;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;CH;VPR;;;;;;;;;;;;;;;;;;;
TOG2;A5;;3;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A5;;4;CR4;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A5;;3;CR2;CH;;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;VPR;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;CR8;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;CR6;SI;P-B;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;CR4;CR2;;;;;;;;;;;;;;;;;;;
TOG2;A5;;1;RSO;CH;CR6;;;;;;;;;;;;;;;;;;
TOG2;A6;;1;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A6;;2;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A6;;22;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A6;;1;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A6;;2;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A6;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A6;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A6;;1;CR3;;;;;;;;;;;;;;;;;;;;
TOG2;A6;;1;RSO;CR4;;;;;;;;;;;;;;;;;;;
TOG2;A6;;3;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A6;;2;VPR;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A6;;1;RSO;VPR;SI4;;;;;;;;;;;;;;;;;;
TOG2;A6;;1;CR4;P-R-L;SI4;;;;;;;;;;;;;;;;;;
TOG2;A6;;1;RSO;CH;CR2;;;;;;;;;;;;;;;;;;
TOG2;A7;;3;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A7;;6;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A7;;1;CR4;CH;;;;;;;;;;;;;;;;;;;
TOG2;A7;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A7;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A7;;1;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;35;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;1;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;1;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;5;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;5;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;6;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;3;CR2;SI4;;;;;;;;;;;;;;;;;;;
TOG2;A8;;2;CR2;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A8;;4;RSO;CH;;;;;;;;;;;;;;;;;;;
TOG2;A8;;1;CR4;PLAIN;;;;;;;;;;;;;;;;;;;
TOG2;A8;;1;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A8;;2;VPR;SI4;P-R;;;;;;;;;;;;;;;;;;
TOG2;A8;;1;PFR;CR4;SI4;P-R;;;;;;;;;;;;;;;;;
TOG2;A8;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A8;;1;BLACK BURNISHED;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;87;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;13;PLAIN;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;7;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;5;CR4G;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;1;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;14;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;9;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;A9;;5;CR4;P-R;;;;;;;;;;;;;;;;;;;
TOG2;A9;;2;CR4;SI4;CR2;;;;;;;;;;;;;;;;;;
TOG2;A9;;1;CR4;CH;RSO;;;;;;;;;;;;;;;;;;
TOG2;A9;;2;CR4;CH;P-R;;;;;;;;;;;;;;;;;;
TOG2;A9;;1;VPR;CH;P-R;;;;;;;;;;;;;;;;;;
TOG2;A9;;1;VPR;MCH;P-R;P-B-L;;;;;;;;;;;;;;;;;
TOG2;A9;;1;PLAIN;CR4;;;;;;;;;;;;;;;;;;;
TOG2;A9;;1;CR4;SI4;P-R;;;;;;;;;;;;;;;;;;
