Site;Context;Horizon;Number of sherds;Decor 1;Decor 2;Decor 3;Decor 4;Decor5;Decor6;;;;;;;;;;;;;;;
TOG2;37;;1;vpr;si4;p-r;;;;;;;;;;;;;;;;;;
TOG2;37;;2;cr4;p-r-l;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;cr2;ch;p-r-l;si4;;;;;;;;;;;;;;;;;
TOG2;37;;2;rso;ch;cr2;;;;;;;;;;;;;;;;;;
TOG2;37;;1;rso;ch;cr4;;;;;;;;;;;;;;;;;;
TOG2;37;;1;p-r-geo;ch;si4;cr6;vpr;;;;;;;;;;;;;;;;
TOG2;38;;1;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;plain;;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;38;;2;rough;;;;;;;;;;;;;;;;;;;;
TOG2;38;;3;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;38;;2;rso;;;;;;;;;;;;;;;;;;;;
TOG2;38;;20;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;cr2;ch;P-r;;;;;;;;;;;;;;;;;;
TOG2;38;;2;cr4;rough;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;vpr;P-r;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;cr4;P-r;si4;;;;;;;;;;;;;;;;;;
TOG2;38;;1;cr4;P-r;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;plain;cr4;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;rso;cr2;ch;;;;;;;;;;;;;;;;;;
TOG2;38;;1;rso;vpr;ch;P-r-l;;;;;;;;;;;;;;;;;
TOG2;38;;2;cr2;ch;P-r-l;;;;;;;;;;;;;;;;;;
TOG2;38;;1;cr2;si;;;;;;;;;;;;;;;;;;;
TOG2;39;;2;rso;;;;;;;;;;;;;;;;;;;;
TOG2;39;;1;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;39;;10;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;39;;1;cr4;p-w-w;;;;;;;;;;;;;;;;;;;
TOG2;39;;1;cr2;p-r-w;ch;;;;;;;;;;;;;;;;;;
TOG2;39;;1;cr4;p-r-l;;;;;;;;;;;;;;;;;;;
TOG2;40;;1;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;40;;7;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;40;;3;rso;;;;;;;;;;;;;;;;;;;;
TOG2;41;;84;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;41;;19;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;41;;5;plain;;;;;;;;;;;;;;;;;;;;
TOG2;41;;7;rough;;;;;;;;;;;;;;;;;;;;
TOG2;41;;13;erod;;;;;;;;;;;;;;;;;;;;
TOG2;41;;8;rso;;;;;;;;;;;;;;;;;;;;
TOG2;41;;9;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;rough;si4;;;;;;;;;;;;;;;;;;;
TOG2;41;;2;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;cr6;VPR;;;;;;;;;;;;;;;;;;;
TOG2;41;;2;cr4;ch;p-r-l;vpr;;;;;;;;;;;;;;;;;
TOG2;41;;1;cr4;rough;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;VPR;P-R-W;;;;;;;;;;;;;;;;;;;
TOG2;41;;2;Plain;VPR;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;cr4;p-r;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;P-R-W;cr2;cr4;rso;si4;;;;;;;;;;;;;;;;
TOG2;41;;1;cr2;p-r-l;CR4;si4;;;;;;;;;;;;;;;;;
TOG2;41;;1;RSO;cr2;p-r-w;;;;;;;;;;;;;;;;;;
TOG2;41;;1;vpr;ch;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;RSO;VPR;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;RSO;ch;cr6;;;;;;;;;;;;;;;;;;
TOG2;41;;1;VPR;si4;p-r-l;;;;;;;;;;;;;;;;;;
TOG2;41;;1;VPR;si4;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;Plain;cr4;p-r;;;;;;;;;;;;;;;;;;
TOG2;41;;1;cr6;p-r;ch;;;;;;;;;;;;;;;;;;
TOG2;41;;1;cr4;p-r-l;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;RSO;ch;cr2;;;;;;;;;;;;;;;;;;
TOG2;41;;1;cr4;p-b;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;VPR;p-r-l;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;cr4;p-r;;;;;;;;;;;;;;;;;;;
TOG2;41;;1;rso;si1;ch;pfr2;;;;;;;;;;;;;;;;;
TOG2;42;;3;plain;;;;;;;;;;;;;;;;;;;;
