Site;Context;Horizon;Parts;MaxTh;MinTh;RimAngle;RimType;Diameter;Temper;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4;Type;;
TOG2;11;B;LNS;14;10;2;S1;24;31;LN;LN;CR4;S;;;;;;;;;
TOG2;11;B;LNS;18;9;2;XY3;16;31;;;CR4;S;;;;;;;;;
TOG2;11;B;LNS;12;10;4;S1;20;31;LN;LN;EROD;S;;;;;;;;;
TOG2;11;B;LNS;19;11;2;E1;28;31;LN;LN;EROD;S;;;;;;;;;
TOG2;11;B;B;13;13;;B8;6;31;;;EROD;BASE;;;;;;;;;
TOG2;11;B;LNS;14;6;4;S1;28;31;;;MCH;Nint;Roulette en bois;NS;;;;;;;
TOG2;11;B;LNS;12;0;3;S1;12;31;LNS;LNS;PLAIN;LNS;;;;;;;;;
TOG2;11;B;LN;12;10;;BT3;10;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;11;B;LNS;11;8;6;E90;8;31;;LNS;PLAIN;LNS;;;;;;;;;
TOG2;11;B;LNS;10;6;2;E1;14;31;;LN;VPR;S;;;;;;;;;
TOG2;11;B;LNS;12;10;2;S1;17;31;LN+IN;LN+IN;CH;N;CR4;S;;;;;;;
TOG2;11;B;LNS;16;12;2;S1;18;31;0;0;CH;N;CR4;S;;;;;;;
TOG2;11;B;LNS;19;8;1;XY3;11;31;L;L;CR4;S;;;;;;;;;
TOG2;11;B;LNS;19;6;1;S1;22;31;0;0;PLAIN;LN;CH;N;CR4;S;;;;;
TOG2;11;B;LNSM;9;8;1;S1;19;31;0;0;P-R-L;L;VPR;NSM;EROD;M;;;;;
TOG2;11;B;LNSM;8;6;2;S7;19;31;0;0;P-R-L;L;CR4;NSM;;;;;;;
TOG2;11;B;N;16;10;1;BT3;5;31;T/O;T/O;RSO;N;;;;;;;;;
TOG2;12;C;LNS;8;8;2;S7;19;31;0;0;CR4;NS;;;;;;;;;
TOG2;13;C;LNS;14;1;2;S5;INDETER;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;13;C;LNS;14;9;2;S1;20;31;L;L;CH;N;CR4;S;;;;;;;
TOG2;13;C;LNS;12;9;3;S1;INDETER;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;13;C;LNS;14;10;2;S1;18;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;13;C;LN;11;7;6;L2;28;31;;;CH;Lint;;;;;;;;;
TOG2;13;C;LN;16;10;2;S1;INDETER;31;LN;LN;CH ;Lint;;;;;;;;;
TOG2;13;C;LNS;14;10;2;S1;16;31;LN;LN;CR2;S;;;;;;;;;
TOG2;13;C;LNS;19;11;2;S15;30;31;L;L;CR4;S;;;;;;;;;
TOG2;13;C;LNS;12;9;2;S10;20;31;;;CR4;S;;;;;;;;;
TOG2;13;C;LNS;2;8;1;XY1;INDETER;31;;;CR4;S;;;;;;;;;
TOG2;13;C;LNS;12;9;2;S10;18;31;L;L;CR4;S;;;;;;;;;
TOG2;13;C;LNS;12;9;2;S10;INDETER;31;L;L;CR4;S;;;;;;;;;
TOG2;13;C;LNS;14;11;4;S1;22;31;;;CR4;NS;;;;;;;;;
TOG2;13;C;LNS;17;14;2;S1;28;31;L;L;CR4;S;;;;;;;;;
TOG2;13;C;LNS;17;11;3;S1;30;31;LN;LN;CR4;S;;;;;;;;;
TOG2;13;C;LNS;44;36;3;S1;INDETER;31;;;CR4G;NS;;;;;;;;;
TOG2;13;C;LNS;16;12;4;S5;26;31;L;L;EROD;S;;;;;;;;;
TOG2;13;C;LNS;20;12;1;XY1;22;31;L;L;EROD;S;;;;;;;;;
TOG2;13;C;LNS;15;12;6;L2;INDETER;31;;;EROD;S;;;;;;;;;
TOG2;13;C;LNS;16;10;2;S1;16;31;LN;LN;EROD;S;;;;;;;;;
TOG2;13;C;LNS;14;8;6;E90;INDETER;31;;LN;EROD;S;;;;;;;;;
TOG2;13;C;LNS;22;14;4;S1;36;32;;;MCH;N;CR4;S;;;;;;;
TOG2;13;C;LNS;21;13;4;S1;20;31;;;PLAIN;S;;;;;;;;;
TOG2;13;C;LN;15;11;4;S1;INDETER;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;13;C;LN;19;10;;BT3;10;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;13;C;LNS;20;1;1;XY3;20;31;LN;LN;P-R-L-N;N;CR4;S;;;;;;;
TOG2;13;C;NS;13;5;1;E;5;31;T/O;T/O;RSO;NS;;;;;;;;;
TOG2;14;C;LNS;11;11;2;S1;19;31;0;LN;CH;N;CR6;S;;;;;;;
TOG2;14;C;LNSM;14;6;2;S3;12;31;;N;CH;N;CR2;SM;;;;;;;
TOG2;14;C;LNSM;14;1;2;S1;24;31;LN;LN;CH;N;CR4;SM;;;;;;;
TOG2;14;C;LNS;13;9;2;S1;22;31;LN;LN;CH;L;CH ;N;CR4;S;;;;;
TOG2;14;C;B;16;13;;B3;8;32;;;CR4;BASE;;;;;;;;;
TOG2;14;C;LNS;17;10;2;S1;18;32;LN;LN;EROD;S;;;;;;;;;
TOG2;14;C;LNS;11;9;2;S1;18;31;LN;LN;MCH;S;;;;;;;;;
TOG2;14;C;LNS;11;10;4;S9;26;31;;;PLAIN;LNS;;;;;;;;;
TOG2;14;C;LN;9;7;;BT3;10;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;14;C;LN;12;6;;BT3;8;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;14;C;LN;11;8;;BT3;6;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;14;C;LNS;16;10;1;E6;INDETER;31;LN;LN;PLAIN;LNS;;;;;;;;;
TOG2;15;C;LNS;14;11;3;S1;25;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;15;C;LNS;15;9;2;S1;20;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;15;C;LNS;14;8;2;S15;18;32;;;CR2;S;;;;;;;;;
TOG2;15;C;LNS;16;9;2;XY1;20;31;LN;LN;CR4;S;;;;;;;;;
TOG2;15;C;LNS;16;13;2;XY2;INDETER;32;LN;LN;CR4;S;;;;;;;;;
TOG2;15;C;LN;13;11;;BT3;14;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;16;C;LNS;16;9;1;XY3;17;31;L;L;CR4;S;P-R-L;S;;;;;;;
TOG2;16;C;LS;24;13;N/A;Y;N/A;32;L;LS;CR4;S;CH;S;;;;;;;
TOG2;16;C;LNS;38;32;5;S1;21;31;0;0;CR4;NS;;;;;;;;;
TOG2;16;C;LNS;16;12;2;N/A;23;31;0;LN;CR4;S;;;;;;;;;
TOG2;16;C;LN;10;8;1;E7;16;31;0;0;PLAIN;LN;;;;;;;;;
TOG2;16;C;LNS;12;11;6;L2;N/A;31;0;0;PLAIN;LN;ROUGHENED;S;;;;;;;
TOG2;16;C;LNS;12;10;6;L2;15;31;0;0;PLAIN;LN;ROUGHENED;S;;;;;;;
