Phase;Unit;Rim Type;Rim Angle;MxRT;MnBT;Diameter;Temper;Firing;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4
4;C;B2;;;;;31;3;0;E;PLAIN;;;;;;;
4;C;E53;1;13;11;18;31;2;L;L EXT;PLAIN;;;;;;;
4;C;E52;2;9;10;;32;4;0;EXT INT;PLAIN;;;;;;;
4;C;E52;1;11;10;24;32;10;0;L EXT;PLAIN;;;;;;;
4;C;B12;;;;4;44;10;;EXT INT;PLAIN;;;;;;;
4;C;B3;;;;6;31;1;0;0;PLAIN;;;;;;;
4;C;B1;;;;;32;10;0;0;PLAIN;;;;;;;
4;C;E11;1;10;;18;31;1;L;L;PLAIN;;;;;;;
5 low;C;S1;1;9;9;10;32;3;EXT INT;EXT INT;PLAIN;;;;;;;
5 low;C;S1;2;8;9;8;32;3;0;EXT INT;PLAIN;;;;;;;
5 low;C;E58;;10;21;12;32;3;EXT INT;EXT INT;PLAIN;;;;;;;
5 low;C;E53;1;12;8;14;32;8;L;EXT INT;PLAIN;;;;;;;
5 low;C;M1;4;9;11;;32;1;0;EXT;PLAIN;;;;;;;
5 up;C;S1;2;9;7;12;32;1;0;EXT INT;PLAIN;N;;;;;;
5 up low;C;B1;;;;14;32;10;0;EXT;PLAIN;;;;;;;
5 up low;C;S2;4;6;5;4;32;8;0;EXT;PLAIN;;;;;;;
5 up;C;S1;2;34;29;42;32;9;0;L INT;SI1;N;;;;;;
4;C;S1;2;8;11;22;32;1;0;EXT INT;SI2;N;TW6;U;;;;
4/5;C;S1;2;20;18;36;31;1;0;EXT;TI1;L;CCRY;U;;;;
5 up;C;E54;2;10;;16;32;9;0;EXT INT;TW;L;P R-W;L;P B-W;C;;
4;C;E53;1;18;12;16;31;13;0;L N;TW1;N;GRASS;C;;;;
4;C;S2;3;7;5;;32;1;0;L;TW1;N U;P R-G;U;;;;
5 up;C;E55;;11;;12;32;1;0;E;TW1;L;;;;;;
5 up;C;E65;2;13;10;14;44;3;0;0;TW12;C;ICS1;N;;;;
4/5;C;B3;;;;;32;3;0;EXT;TW4;EXT;;;;;;
3 up;C;S1;2;16;15;28;32;4;L;L;TW4;N U;;;;;;
5 up low;C;S5;2;13;11;16;32;1;0;0;TW6;L N;EROD;N U;;;;
4/5;C;S3;2;10;7;28;32;9;0;0;TW6;N;ICS1;U;;;;
5 up low;C;S2;2;28;29;32;32;12;0;INT;TW6;N U;P B-W;;;;;
4/5;C;E3;2;12;9;16;31;1;0;EXT;TW6;U;;;;;;
5 low;C;S2;2;21;16;38;32;1;0;L;TW6;L U;;;;;;
5 up;C;E58;2;15;10;16;32;9;0;0;TW6;N;;;;;;
5 up;A;S13;2;6;4;10;32;13;INT;L R C;DC2;C N U;P R-W;C N U;P B-G;C;;
5 up;A;E59;1;10;11;22;32;1;0;0;GRASS;U;P R-W;U;;;;
5 up;A;E55;1;11;8;14;32;1;0;L R C;GRASS;N;P W-W;L;;;;
5 up;A;E53;;10;;;31;1;0;C;GRASS;N;;;;;;
5 up;A;E53;;11;;;31;1;0;L R C;GRASS;C;;;;;;
5 up;A;S1;3;18;;30;32;1;0;L R C;MCH;C;;;;;;
5 up;A;E55;;11;;;31;1;0;L R C;P W-W;L;GRASS;N U;;;;
5 up;A;S2;2;7;7;8;32;1;0;0;TW1;C;;;;;;
5 up;A;E52;;11;;;31;1;0;L R C;;;;;;;;
5 up;A;E53;;11;;;31;1;0;0;;;;;;;;
5 up;A;S1;2;11;8;26;32;1;0;INT L C;CH;N;TW1;N U;;;;
5 up;A;E59;1;12;8;16;31;1;0;INT L C;EROD;N;;;;;;
5 up;A;S1;2;16;13;30;31;13;0;INT L C;GRASS;C;EROD;N U;;;;
5 up;A;S1;2;17;13;16;32;1;0;INT;GRASS;N;TW6;U;;;;
5 up;A;S1;2;18;16;24;31;13;0;0;GRASS;N;TW6;U;;;;
5 up;A;S1;2;16;14;38;31;1;0;INT;GRASS;N;TW6;U;;;;
5 up;A;E56;;11;;24;32;9;0;INT L;GRASS;N;;;;;;
5 up;A;S1;2;17;15;18;32;1;0;INT EXT;MCH;N;TW6;U;;;;
5 up;A;E56;2;14;10;22;44;8;0;0;TW6;U;GRASS;C N;;;;
5 up;A;S2;3;27;27;46;31;13;0;0;TW6;EXT;;;;;;
5 up;A;F3;;;;;32;10;0;0;;;;;;;;
5 up;A;S2;3;11;10;14;31;13;0;L N;CH;N;EROD;;;;;
5 up;A;S2;3;9;7;12;31;1;0;0;CSR1;N U;;;;;;
5 up;A;S2;3;10;10;12;31;1;0;L;DC2;N U;P R-W;N U;;;;
5 up;A;E62;3;10;6;16;31;9;L;L;DC2;N U;TW1;C;P;N U;;
5 up;A;E55;1;11;7;8;31;1;L;L C N;P R-W;C;;;;;;
5 up;A;S15;4;14;6;20;31;8;L U;T/O;GRASS;N;P;L N;PLAIN;B;;
5 up;A;E52;2;11;10;22;31;9;0;L;GRASS;C N;TW1;N U;P;C N;;
5 up;A;S1;4;15;15;26;32;9;0;INT;GRASS;N U;TW4;U;P B-W;L N;;
5 up;A;E56;2;12;9;16;32;1;0;L;GRASS;L;TW6;N U;;;;
5 up;A;S2;4;12;12;34;31;1;0;0;GRASS;L;TW6;N;;;;
5 up;A;E53;2;15;;18;31;9;L;L;P W-W;L;P B;N C;GRASS;L C N;;
5 up;A;B2;1;;5;8;32;1;0;0;DC2;B;P B;B;;;;
5 up;A;S2;2;9;7;12;31;1;0;0;ICS4;N U;;;;;;
5 up;A;E53;1;21;10;20;31;10;INT L;L;P W-W;C N;GRASS;N U;TW6;U;;
5 up;A;S1;1;12;12;26;32;13;0;0;GRASS;N U;EROD;U;;;;
5 up;A;E52;1;10;9;24;31;1;0;L C U;GRASS;C U;;;;;;
5 up;A;E53;2;13;9;30;31;1;0;L C;GRASS;C;;;;;;
5 up;A;E56;2;12;8;16;31;1;0;T/O;GRASS;N;;;;;;
5 up;A;E53;2;12;9;18;32;1;0;L C U;P B;L C;CSR1;U;GRASS;C;;
5 up;A;E53;2;12;9;18;32;1;0;L C U;P B;L C;CSR1;U;GRASS;C;;
5 up;A;E53;2;11;8;20;32;1;L C;T/O;P W-G;C;EROD;N;;;;
5 up;A;E58;2;8;10;18;31;1;0;0;PLAIN;C;TW6;N;;;;
5 up;A;S1;2;5;9;16;32;1;0;0;PLAIN;;;;;;;
5 up;A;B3;2;;4;10;31;1;0;B;TW6;B;;;;;;
5 up;A;E53;2;12;9;18;44S;9;L;T/O;;;;;;;;
5 up;A;E54;2;10;9;16;32;1;0;L;;;;;;;;
5 up;A;S1;4;10;10;40;32;1;0;L;PLAIN;T/O;;;;;;
5 up;A;S1;2;9;13;22;31;8;0;0;TW6;N U;;;;;;
5 up;A;S1;2;9;13;22;31;8;0;0;TW6;N U;;;;;;
5 low;A;S1;2;16;14;28;31;1;0;0;CH;N;TW4;N;;;;
5 low;A;S1;2;17;15;44;32;1;0;0;CH;N;TW6;N U;CCRY;U;;
