;site;n
;Akumbu9;574
Akumbu12;Akumbu12;133
Ambere-Dougon;Ambere-Dougon;33
Damassogou;Damassogou;179
1;Doupwil;33
11;Essouk;450
12;Galia;99
13;Gao12;1266
2;Gao9;445
14;Jenne-jeno9;360
21;Jenne-jeno12;143
15;Kokolo;119
16;Mara9;281
22;Mara12;512
17;Marakaduguba;59
Nin_Bere;Nin_Bere;27
Ounjougou12;Ounjougou12;23
18;Sadia12;3860
23;Sadia9;869
19;Sanga D;57
110;Shoma12;661
111;TMD9;73
24;TMD12;143
112;Togu;148
