"";"Assemblage";"m";"Method";"Order.q";"qD";"qD.LCL";"qD.UCL";"SC";"SC.LCL";"SC.UCL"
"50";"Mara12";469;"Extrapolation";0;7;6,46599771808269;7,53400228191731;1;0,999244193632446;1
"51";"Ounjougou12";1;"Rarefaction";0;1;1;1;0,418972332015811;0,307720837347536;0,530223826684086
"52";"Ounjougou12";12;"Rarefaction";0;3,0431417418226;2,30713550702224;3,77914797662296;0,912798737135795;0,864419513594648;0,961177960676942
"53";"Ounjougou12";23;"Observed";0;4;2,92211071975689;5,07788928024311;0,920289855072464;0,87565299414091;0,964926716004018
"54";"Ounjougou12";24;"Extrapolation";0;4,07971014492754;2,9740073008493;5,18541298900578;0,926932367149758;0,886015244629167;0,96784948967035
"55";"Ounjougou12";35;"Extrapolation";0;4,61983026885604;3,30108235993585;5,93857817777623;0,971942377477134;0,956230397580952;0,987654357373316
"56";"Sadia12";1;"Rarefaction";0;1;1;1;0,386140742576795;0,372706054602428;0,399575430551163
"57";"Sadia12";1853;"Rarefaction";0;5,00000000000091;5,00000000000023;5,00000000000159;1;1;1
"58";"Sadia12";3336;"Observed";0;5;5;5;1;1;1
"59";"Sadia12";3337;"Extrapolation";0;5;5;5;1;1;1
"60";"Sadia12";5092;"Extrapolation";0;5;5;5;1;1;1
"61";"Sanga D";1;"Rarefaction";0;1;1;1;0,174244120940635;0,135507920524762;0,212980321356509
"62";"Sanga D";52;"Rarefaction";0;9,07466052714624;7,74860338219665;10,4007176720958;0,960912279212605;0,940838551738929;0,98098600668628
"63";"Sanga D";95;"Observed";0;10;8,25412486742534;11,7458751325747;0,98969298245614;0,96445235880794;1
"64";"Sanga D";96;"Extrapolation";0;10,0103070175439;8,25045924636199;11,7701547887257;0,989907711988304;0,964857867019742;1
"65";"Sanga D";145;"Extrapolation";0;10,3220714573787;7,8672824938132;12,7768604209443;0,996402804484864;0,978316077291374;1
"66";"Shoma12";1;"Rarefaction";0;1;0,999999999999999;1;0,416662245878088;0,371672516234902;0,461651975521274
"67";"Shoma12";323;"Rarefaction";0;6,10806174467794;5,45808995718486;6,75803353217102;0,996569467834713;0,995295133862074;0,997843801807352
"68";"Shoma12";583;"Observed";0;7;6,27417037931301;7,72582962068699;0,996581216663925;0,996581216663925;0,996581216663925
"69";"Shoma12";584;"Extrapolation";0;7,00341878333607;6,27758916264908;7,72924840402306;0,996592924826035;0,996592924826035;0,996592924826035
"70";"Shoma12";890;"Extrapolation";0;7,65005435642742;6,92422473574042;8,37588397711441;0,998807430213335;0,998807430213335;0,998807430213335
"71";"TMD12";1;"Rarefaction";0;1;1;1;0,19598361588342;0,163582935209302;0,228384296557537
"72";"TMD12";104;"Rarefaction";0;10,3877530801741;9,43209281564378;11,3434133447044;0,987769117420594;0,980567758433373;0,994970476407815
"73";"TMD12";188;"Observed";0;11;9,86265552270666;12,1373444772933;1;0,993130955961167;1
"74";"TMD12";189;"Extrapolation";0;11;9,86027634571518;12,1397236542848;1;0,993186274039379;1
"75";"TMD12";287;"Extrapolation";0;11;9,62884273757808;12,3711572624219;1;0,996603658533403;1
"76";"Togu";1;"Rarefaction";0;1;1;1;0,379936507936438;0,318484312674606;0,44138870319827
"77";"Togu";69;"Rarefaction";0;6,87467245750766;5,58679936841145;8,16254554660387;0,97171048556791;0,958170964528401;0,985250006607418
"78";"Togu";126;"Observed";0;8;6,31025946775252;9,68974053224748;0,98437695288089;0,969316904480275;0,999437001281504
"79";"Togu";127;"Extrapolation";0;8,01562304711911;6,31732850668926;9,71391758754896;0,984622985118986;0,969689441634242;0,999556528603731
"80";"Togu";192;"Extrapolation";0;8,64408312384504;6,42656494742063;10,8616013002695;0,994519994201284;0,985173076767134;1
